PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,UNIQUE_CARRIER_ENTITY,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
1576,0,0,1214,F9,20436,Frontier Airlines Inc.,6460,D,F9,Frontier Airlines Inc.,3,3,13204,1320402,31454,MCO,"Orlando, FL",FL,12,Florida,33,14321,1432105,34321,PWM,"Portland, ME",ME,23,Maine,12,2025,1,1,3,F
1576,1482,0,1299,WN,19393,Southwest Airlines Co.,6725,D,WN,Southwest Airlines Co.,3,3,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,12889,1288904,32211,LAS,"Las Vegas, NV",NV,32,Nevada,85,2025,1,1,3,F
1577,0,0,594,G4,20368,Allegiant Air,6035,D,G4,Allegiant Air,3,3,14761,1476107,34761,SFB,"Sanford, FL",FL,12,Florida,33,14574,1457406,34574,ROA,"Roanoke, VA",VA,51,Virginia,38,2025,1,1,2,F
1578,0,0,157,OO,20304,SkyWest Airlines Inc.,6700,D,OO,SkyWest Airlines Inc.,3,3,14696,1469608,34696,SBN,"South Bend, IN",IN,18,Indiana,42,11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43,2025,1,1,1,F
1579,0,0,461,OO,20304,SkyWest Airlines Inc.,6700,D,OO,SkyWest Airlines Inc.,3,3,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,13127,1312702,33127,LWS,"Lewiston, ID",ID,16,Idaho,83,2025,1,1,1,F
1579,800,0,364,OH,20397,PSA Airlines Inc.,7028,D,OH,PSA Airlines Inc.,2,2,14321,1432105,34321,PWM,"Portland, ME",ME,23,Maine,12,14100,1410005,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,2025,1,1,1,F
1581,0,0,1338,G4,20368,Allegiant Air,6035,D,G4,Allegiant Air,3,3,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,12,Florida,33,10408,1040805,30408,ATW,"Appleton, WI",WI,55,Wisconsin,45,2025,1,1,3,F
1583,0,0,512,OO,20304,SkyWest Airlines Inc.,6700,D,OO,SkyWest Airlines Inc.,3,3,14747,1474703,30559,SEA,"Seattle, WA",WA,53,Washington,93,12003,1200305,31895,GTF,"Great Falls, MT",MT,30,Montana,84,2025,1,1,2,F
1585,0,0,422,OO,20304,SkyWest Airlines Inc.,6700,D,OO,SkyWest Airlines Inc.,3,3,14570,1457002,34570,RNO,"Reno, NV",NV,32,Nevada,85,14869,1486903,34614,SLC,"Salt Lake City, UT",UT,49,Utah,87,2025,1,1,1,F
1586,0,0,151,9E,20363,Endeavor Air Inc.,7024,D,9E,Endeavor Air Inc.,2,2,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,12217,1221702,30255,HSV,"Huntsville, AL",AL,1,Alabama,51,2025,1,1,1,F
1586,350,0,554,PT,20427,Piedmont Airlines,6918,D,PT,Piedmont Airlines,2,2,14100,1410005,34100,PHL,"Philadelphia, PA",PA,42,Pennsylvania,23,15412,1541206,35412,TYS,"Knoxville, TN",TN,47,Tennessee,54,2025,1,1,2,F
1587,0,0,610,9E,20363,Endeavor Air Inc.,7024,D,9E,Endeavor Air Inc.,2,2,13244,1324402,33244,MEM,"Memphis, TN",TN,47,Tennessee,54,11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43,2025,1,1,2,F
1587,12132,395,539,AS,19930,Alaska Airlines Inc.,6031,D,AS,Alaska Airlines Inc.,3,3,10299,1029906,30299,ANC,"Anchorage, AK",AK,2,Alaska,1,13873,1387306,33873,OME,"Nome, AK",AK,2,Alaska,1,2025,1,1,2,F
1588,2454,0,1553,WN,19393,Southwest Airlines Co.,6725,D,WN,Southwest Airlines Co.,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,13931,1393102,33667,ORF,"Norfolk, VA",VA,51,Virginia,38,2025,1,1,4,F
1589,0,0,190,OO,20304,SkyWest Airlines Inc.,6700,D,OO,SkyWest Airlines Inc.,3,3,14520,1452002,34520,RHI,"Rhinelander, WI",WI,55,Wisconsin,45,13487,1348702,31650,MSP,"Minneapolis, MN",MN,27,Minnesota,63,2025,1,1,1,F
1589,0,0,663,MX,22080,Breeze Aviation Group DBA  Breeze,1268,D,MX,Breeze Aviation Group DBA  Breeze,2,2,10994,1099402,30994,CHS,"Charleston, SC",SC,45,South Carolina,37,12197,1219702,31703,HPN,"White Plains, NY",NY,36,New York,22,2025,1,1,2,F
1590,0,0,1370,OO,20304,SkyWest Airlines Inc.,6700,D,OO,SkyWest Airlines Inc.,3,3,11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82,11995,1199502,31995,GSO,"Greensboro/High Point, NC",NC,37,North Carolina,36,2025,1,1,3,F
1591,0,0,333,B6,20409,JetBlue Airways,6673,D,B6,JetBlue Airways,3,3,14231,1423103,34231,PQI,"Presque Isle/Houlton, ME",ME,23,Maine,12,10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13,2025,1,1,1,F
1591,0,0,594,F9,20436,Frontier Airlines Inc.,6460,D,F9,Frontier Airlines Inc.,3,3,10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34,11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43,2025,1,1,2,F
